tarih1,ilce,bildirimsiz_sum,bildirimli_sum,t_2m:C,effective_cloud_cover:p,global_rad:W,relative_humidity_2m:p,wind_dir_10m:d,wind_speed_10m:ms,prob_precip_1h:p,t_apparent:C,Tatil
01-01,izmir-aliaga,3.0,0.0,11.6,36.6,0.0,84.6,96.80000000000001,3.55,1.0,11.0,1.0
01-01,izmir-balcova,1.0,0.0,13.1,97.6,0.0,93.9,141.5,2.2,1.0,13.6,1.0
01-01,izmir-bayindir,2.5,0.0,10.55,33.925,0.0,84.825,33.025,2.05,1.0,10.6,1.0
01-01,izmir-bayrakli,4.333333333333333,0.0,11.9,42.76666666666667,0.0,88.33333333333333,88.0,2.2333333333333334,1.0,11.866666666666667,1.0
01-01,izmir-bergama,3.3333333333333335,0.3333333333333333,10.466666666666667,44.96666666666666,0.0,84.56666666666666,100.3,1.1666666666666667,1.0,10.366666666666667,1.0
01-01,izmir-beydag,1.0,0.0,10.0,1.0,0.0,96.8,90.0,0.8,1.0,10.1,1.0
01-01,izmir-bornova,4.75,0.25,10.7,33.5,0.0,89.15,86.35,2.1,1.0,10.375,1.0
01-01,izmir-buca,2.0,0.0,10.375,34.475,0.0,88.7,152.025,2.1,1.0,10.175,1.0
01-01,izmir-cesme,8.75,0.0,14.325,30.575,0.0,76.65,92.1,5.275,1.0,13.825,1.0
01-01,izmir-cigli,2.5,0.0,10.925,32.675,0.0,88.575,168.85000000000002,2.7750000000000004,1.0,10.525,1.0
01-01,izmir-dikili,3.0,0.5,11.575,37.725,0.0,86.075,108.625,2.9499999999999997,1.0,11.2,1.0
01-01,izmir-foca,4.5,0.0,12.7,44.15,0.0,85.125,90.5,4.775,1.0,12.675,1.0
01-01,izmir-gaziemir,2.3333333333333335,0.3333333333333333,9.866666666666667,13.233333333333334,0.0,87.83333333333333,273.8333333333333,2.2666666666666666,1.0,9.333333333333334,1.0
01-01,izmir-guzelbahce,1.0,0.0,11.933333333333332,13.5,0.0,86.43333333333334,182.63333333333335,3.5666666666666664,1.0,11.366666666666667,1.0
01-01,izmir-karabaglar,2.3333333333333335,0.0,10.6,12.433333333333332,0.0,88.43333333333334,158.76666666666668,2.3333333333333335,1.0,10.299999999999999,1.0
01-01,izmir-karaburun,4.666666666666667,0.0,12.700000000000001,37.766666666666666,0.0,85.46666666666665,84.5,3.9,1.0,12.633333333333333,1.0
01-01,izmir-karsiyaka,4.75,0.0,11.725,32.45,0.0,86.925,160.4,2.2,1.0,11.825,1.0
