iter	RMSE
0	5.38905721
1	5.345164512
2	5.309443331
3	5.286712333
4	5.264002223
5	5.247488631
6	5.221101258
7	5.207612543
8	5.18685832
9	5.168082254
10	5.152198717
11	5.134799877
12	5.12556826
13	5.117404447
14	5.101924093
15	5.087105089
16	5.07369602
17	5.064765787
18	5.051403022
19	5.041888983
20	5.036113898
21	5.024995845
22	5.013420969
23	5.003031481
24	4.994074078
25	4.985006923
26	4.971619492
27	4.961664496
28	4.953288644
29	4.947712284
30	4.943364508
31	4.936787618
32	4.929323093
33	4.92478371
34	4.913981835
35	4.905051263
36	4.89720349
37	4.884397399
38	4.876462103
39	4.870893735
40	4.863620143
41	4.860092259
42	4.854342568
43	4.847950069
44	4.843920332
45	4.840565805
46	4.836689768
47	4.830042563
48	4.82044157
49	4.81463276
50	4.808258151
51	4.802340555
52	4.795731506
53	4.791499316
54	4.787499352
55	4.784403198
56	4.781137252
57	4.775769211
58	4.770462681
59	4.763863555
60	4.759504187
61	4.757621669
62	4.754346222
63	4.743689067
64	4.739430485
65	4.735746649
66	4.733916339
67	4.731477017
68	4.728882007
69	4.72669828
70	4.725012026
71	4.719739918
72	4.712142121
73	4.70949985
74	4.707027902
75	4.6996363
76	4.696521885
77	4.691665848
78	4.688177263
79	4.682547984
80	4.677871144
81	4.675468624
82	4.670132519
83	4.667417347
84	4.664906016
85	4.66130272
86	4.656376432
87	4.652746966
88	4.650343379
89	4.647991747
90	4.645152447
91	4.643556166
92	4.637820006
93	4.635562306
94	4.633694346
95	4.632746367
96	4.630920394
97	4.627783523
98	4.624393726
99	4.619882426
100	4.618324196
101	4.61545479
102	4.61335195
103	4.609527844
104	4.606962661
105	4.604535779
106	4.601961244
107	4.598001665
108	4.595033552
109	4.593635705
110	4.589540052
111	4.585911904
112	4.58292946
113	4.581235383
114	4.577637805
115	4.575101922
116	4.568798427
117	4.567568173
118	4.565054492
119	4.558915
120	4.557716339
121	4.55593391
122	4.551672725
123	4.545617195
124	4.543317023
125	4.538510259
126	4.535707938
127	4.531782961
128	4.529503554
129	4.527923712
130	4.524883925
131	4.523369868
132	4.522805135
133	4.520294348
134	4.517251155
135	4.514270852
136	4.512420014
137	4.51102462
138	4.509630113
139	4.507761216
140	4.505580231
141	4.502505842
142	4.50038401
143	4.498984989
144	4.495543087
145	4.493395602
146	4.491314087
147	4.487971445
148	4.486220371
149	4.482960733
150	4.479019035
151	4.477882235
152	4.476315747
153	4.475259251
154	4.471497542
155	4.469718282
156	4.466549215
157	4.46526214
158	4.463652682
159	4.459328845
160	4.458049274
161	4.456778021
162	4.454546534
163	4.450386587
164	4.448389802
165	4.445654895
166	4.442629274
167	4.441131754
168	4.438934184
169	4.434999189
170	4.432961508
171	4.431246012
172	4.42889212
173	4.427088388
174	4.422825592
175	4.421407125
176	4.42006066
177	4.41718685
178	4.413381741
179	4.411857608
180	4.40998668
181	4.408003114
182	4.404218833
183	4.40077767
184	4.399274534
185	4.397403268
186	4.395737529
187	4.39291842
188	4.391744991
189	4.390350508
190	4.38883399
191	4.387308073
192	4.38636189
193	4.385095407
194	4.383802079
195	4.380878721
196	4.378619633
197	4.377258724
198	4.376226399
199	4.374895337
200	4.373520743
201	4.37196702
202	4.370106128
203	4.369215453
204	4.366827798
205	4.365843794
206	4.364820495
207	4.363316505
208	4.362173815
209	4.360877898
210	4.359196316
211	4.357561816
212	4.356586066
213	4.355159494
214	4.353609058
215	4.352623971
216	4.351718734
217	4.350431619
218	4.34908854
219	4.347743904
220	4.344950303
221	4.344144971
222	4.343191022
223	4.341587015
224	4.340899459
225	4.33974431
226	4.338483305
227	4.337438342
228	4.334443041
229	4.333203955
230	4.332048047
231	4.331039944
232	4.329084736
233	4.327960423
234	4.325791178
235	4.324717773
236	4.323277357
237	4.320608734
238	4.319561888
239	4.318123051
240	4.317162606
241	4.31625074
242	4.314994802
243	4.312881203
244	4.311800976
245	4.309697762
246	4.307612102
247	4.306388121
248	4.305626685
249	4.304589745
250	4.303320751
251	4.3023488
252	4.299445908
253	4.298399747
254	4.297078654
255	4.295834168
256	4.294059958
257	4.292473014
258	4.29159535
259	4.290504228
260	4.289822545
261	4.287507195
262	4.28649814
263	4.285463057
264	4.28414119
265	4.283141332
266	4.281699488
267	4.279873982
268	4.278775497
269	4.277637327
270	4.276271577
271	4.275334622
272	4.274502847
273	4.273864206
274	4.272982477
275	4.271727023
276	4.270889428
277	4.269574726
278	4.268532779
279	4.266632364
280	4.265617833
281	4.265420301
282	4.263894627
283	4.261485612
