iter	Passed	Remaining
0	147	147774
1	157	78817
2	167	55814
3	177	44298
4	186	37025
5	192	31936
6	198	28168
7	203	25196
8	207	22794
9	210	20839
10	214	19296
11	218	17998
12	221	16852
13	225	15900
14	230	15104
15	234	14407
16	238	13794
17	244	13348
18	250	12929
19	254	12446
20	257	11988
21	261	11609
22	264	11227
23	267	10883
24	270	10564
25	274	10288
26	278	10047
27	282	9807
28	285	9573
29	289	9369
30	293	9179
31	297	8986
32	300	8793
33	303	8623
34	307	8472
35	310	8313
36	313	8158
37	317	8036
38	321	7924
39	324	7799
40	328	7673
41	331	7559
42	334	7453
43	338	7360
44	341	7257
45	345	7158
46	348	7063
47	352	6987
48	356	6911
49	359	6828
50	362	6752
51	366	6683
52	370	6617
53	373	6545
54	377	6481
55	380	6413
56	387	6407
57	393	6395
58	400	6389
59	404	6342
60	410	6311
61	415	6279
62	418	6228
63	422	6180
64	425	6125
65	430	6087
66	433	6038
67	436	5987
68	440	5938
69	443	5897
70	447	5859
71	450	5811
72	454	5770
73	458	5735
74	462	5701
75	465	5658
76	468	5619
77	472	5581
78	475	5548
79	479	5513
80	483	5480
81	486	5443
82	490	5422
83	493	5386
84	497	5354
85	500	5319
86	504	5294
87	508	5267
88	511	5235
89	514	5204
90	518	5175
91	522	5158
92	526	5136
93	529	5106
94	533	5080
95	537	5060
96	541	5040
97	544	5013
98	548	4988
99	552	4968
100	555	4946
101	558	4920
102	562	4896
103	565	4872
104	569	4854
105	572	4831
106	576	4807
107	579	4784
108	583	4766
109	586	4747
110	590	4726
111	593	4706
112	596	4685
113	600	4669
114	604	4650
115	607	4630
116	610	4610
117	615	4598
118	618	4581
119	622	4563
120	625	4545
121	629	4527
122	632	4510
123	636	4495
124	639	4477
125	643	4461
126	647	4449
127	650	4433
128	653	4414
129	657	4397
130	660	4384
131	664	4370
132	667	4353
133	671	4337
134	674	4324
135	678	4313
136	682	4296
137	685	4280
138	688	4265
139	692	4254
140	696	4243
141	700	4230
142	703	4216
143	707	4208
144	711	4196
145	714	4180
146	718	4166
147	721	4154
148	726	4147
149	729	4134
150	733	4122
151	736	4110
152	740	4099
153	744	4087
154	747	4074
155	751	4064
156	755	4055
157	759	4046
158	762	4033
159	766	4024
160	770	4015
161	774	4003
162	777	3990
163	781	3981
164	784	3972
165	788	3960
166	791	3948
167	795	3937
168	799	3929
169	802	3919
170	806	3908
171	809	3897
172	812	3885
173	816	3878
174	820	3867
175	823	3856
176	827	3846
177	831	3839
178	834	3829
179	838	3818
