tarih,ilce,bildirimsiz_sum,bildirimli_sum,t_2m:C,effective_cloud_cover:p,global_rad:W,relative_humidity_2m:p,wind_dir_10m:d,wind_speed_10m:ms,prob_precip_1h:p,t_apparent:C,Tatil,tarih1
2021-01-01,izmir-aliaga,5,0,13.8,40.2,0.0,80.0,168.3,6.0,1.0,13.4,1,01-01
2021-01-02,izmir-aliaga,13,0,11.0,22.9,0.0,93.1,116.1,2.2,1.0,11.1,0,01-02
2021-01-03,izmir-aliaga,4,0,12.3,43.3,0.0,82.0,111.4,3.2,1.0,12.3,0,01-03
2021-01-04,izmir-aliaga,9,0,11.5,41.7,0.0,84.1,108.4,2.9,1.0,11.5,0,01-04
2021-01-05,izmir-aliaga,2,0,15.4,75.5,0.0,70.2,168.5,5.0,54.5,14.6,0,01-05
2021-01-06,izmir-aliaga,2,0,11.9,9.5,0.0,80.2,158.6,3.3,1.0,11.8,0,01-06
2021-01-07,izmir-aliaga,3,2,12.0,13.5,0.0,79.4,141.9,3.7,1.0,11.8,0,01-07
2021-01-08,izmir-aliaga,5,1,13.6,81.0,0.0,77.0,152.7,4.1,1.0,13.3,0,01-08
2021-01-09,izmir-aliaga,8,0,15.7,70.4,0.0,84.6,174.4,5.7,1.0,15.6,0,01-09
2021-01-10,izmir-aliaga,8,0,15.8,97.9,0.0,79.7,168.0,6.4,1.0,15.3,0,01-10
2021-01-11,izmir-aliaga,2,1,17.1,49.3,0.0,74.7,174.4,6.4,1.0,16.4,0,01-11
2021-01-12,izmir-aliaga,14,0,18.0,58.2,0.0,65.8,176.8,8.3,34.7,16.4,0,01-12
2021-01-13,izmir-aliaga,9,0,15.8,89.9,0.0,89.2,189.3,7.4,3.2,15.7,0,01-13
2021-01-14,izmir-aliaga,1,1,8.9,70.3,0.0,87.4,40.1,1.8,1.0,8.2,0,01-14
2021-01-15,izmir-aliaga,1,0,6.8,48.0,0.0,74.1,123.5,4.3,1.0,3.9,0,01-15
2021-01-16,izmir-aliaga,9,0,3.2,41.2,0.0,76.0,51.5,4.9,1.0,-0.9,0,01-16
2021-01-17,izmir-aliaga,4,0,3.2,32.9,0.0,82.4,29.4,4.3,1.0,-0.5,0,01-17
2021-01-18,izmir-aliaga,2,0,1.2,97.5,0.0,75.9,60.1,5.6,1.0,-3.7,0,01-18
2021-01-19,izmir-aliaga,1,3,0.3,2.2,0.0,71.3,55.4,5.8,1.0,-5.1,0,01-19
2021-01-20,izmir-aliaga,3,1,1.5,0.0,0.0,71.8,49.9,4.8,1.0,-3.0,0,01-20
2021-01-21,izmir-aliaga,8,2,4.2,37.8,0.0,57.3,118.2,4.5,1.0,0.6,0,01-21
2021-01-22,izmir-aliaga,2,0,8.4,21.3,0.0,68.7,141.6,4.5,1.0,5.8,0,01-22
2021-01-23,izmir-aliaga,1,0,11.3,38.7,0.0,84.1,158.7,4.9,1.0,11.1,0,01-23
2021-01-24,izmir-aliaga,5,0,12.0,99.8,0.0,88.5,161.2,6.1,1.0,11.8,0,01-24
2021-01-25,izmir-aliaga,8,0,13.5,72.2,0.0,80.6,163.3,6.1,1.0,13.1,0,01-25
2021-01-26,izmir-aliaga,5,1,14.0,87.8,0.0,78.7,164.7,5.3,45.9,13.6,0,01-26
2021-01-27,izmir-aliaga,14,0,14.3,98.6,0.0,80.5,163.6,7.7,3.6,13.7,0,01-27
2021-01-28,izmir-aliaga,9,3,2.8,62.5,0.0,82.7,32.4,4.1,6.6,-0.9,0,01-28
2021-01-29,izmir-aliaga,4,1,2.8,12.4,0.0,85.9,82.4,2.0,1.0,0.7,0,01-29
2021-01-30,izmir-aliaga,24,0,8.9,76.1,0.0,71.4,151.1,6.1,1.0,5.8,0,01-30
2021-01-31,izmir-aliaga,12,0,10.3,22.7,0.0,91.3,60.9,3.6,1.0,10.3,0,01-31
2021-02-01,izmir-aliaga,3,0,13.6,49.7,0.0,61.2,162.5,6.3,13.0,12.5,0,02-01
2021-02-02,izmir-aliaga,12,0,14.8,93.4,0.0,81.3,185.9,8.3,88.9,14.1,0,02-02
2021-02-03,izmir-aliaga,5,0,12.7,84.0,0.0,91.2,134.4,3.2,11.6,12.9,0,02-03
2021-02-04,izmir-aliaga,1,0,11.4,0.0,0.0,91.2,108.1,1.2,1.0,11.7,0,02-04
2021-02-05,izmir-aliaga,3,0,12.0,0.0,0.0,89.5,151.9,1.8,1.0,12.2,0,02-05
