tarih,ilce,bildirimli_sum,t_2m:C,effective_cloud_cover:p,global_rad:W,relative_humidity_2m:p,wind_dir_10m:d,wind_speed_10m:ms,prob_precip_1h:p,t_apparent:C,Tatil
2024-02-01,izmir-aliaga,0,8.066666666666666,38.96666666666667,0.0,68.23333333333333,112.0,4.766666666666667,5.0,5.666666666666667,0.0
2024-02-01,izmir-bayindir,1,5.166666666666667,64.33333333333333,0.0,73.26666666666667,35.5,2.6333333333333333,1.0,3.0666666666666664,0.0
2024-02-01,izmir-bayrakli,0,7.199999999999999,36.03333333333333,0.0,72.39999999999999,82.3,3.466666666666667,1.0,5.633333333333333,0.0
2024-02-01,izmir-bergama,1,4.266666666666667,38.800000000000004,0.0,78.73333333333333,149.43333333333334,1.4666666666666668,9.1,3.533333333333333,0.0
2024-02-01,izmir-bornova,1,6.433333333333334,35.53333333333333,0.0,73.43333333333334,84.50000000000001,3.3000000000000003,1.0,4.866666666666666,0.0
2024-02-01,izmir-buca,1,6.3,41.333333333333336,0.0,72.7,197.36666666666667,3.6333333333333333,1.0,4.766666666666667,0.0
2024-02-01,izmir-cesme,0,10.4,67.5,0.0,69.0,113.63333333333333,7.333333333333333,1.0,8.133333333333333,0.0
2024-02-01,izmir-cigli,1,7.733333333333333,37.43333333333333,0.0,71.43333333333334,93.2,4.7,1.0,5.866666666666667,0.0
2024-02-01,izmir-dikili,1,9.2,50.05,0.0,68.45,111.94999999999999,3.3,7.85,7.800000000000001,0.0
2024-02-01,izmir-foca,0,8.933333333333334,46.36666666666667,0.0,71.46666666666665,108.60000000000001,6.633333333333333,8.133333333333333,6.466666666666666,0.0
2024-02-01,izmir-gaziemir,0,3.4,48.95,0.0,75.95,242.4,2.55,1.0,1.0,0.0
2024-02-01,izmir-guzelbahce,1,8.666666666666666,52.46666666666667,0.0,70.66666666666667,102.8,5.8,1.0,6.633333333333333,0.0
2024-02-01,izmir-karabaglar,0,6.966666666666666,39.36666666666667,0.0,74.10000000000001,201.86666666666667,4.0,1.0,5.366666666666666,0.0
2024-02-01,izmir-karaburun,0,9.666666666666666,45.73333333333333,0.0,72.06666666666666,118.53333333333335,5.733333333333333,9.666666666666666,7.8,0.0
2024-02-01,izmir-karsiyaka,1,8.85,31.5,0.0,67.0,250.4,5.0,1.0,7.15,0.0
2024-02-01,izmir-kemalpasa,1,6.433333333333334,43.166666666666664,0.0,66.39999999999999,115.76666666666667,2.2666666666666666,1.0,5.3,0.0
2024-02-01,izmir-kinik,1,9.0,49.2,0.0,78.0,124.7,1.3,34.5,9.0,0.0
2024-02-01,izmir-kiraz,1,4.033333333333333,66.39999999999999,0.0,78.93333333333334,73.23333333333333,1.4333333333333333,1.0,3.233333333333334,0.0
